opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
21078,UNIVERSITY OF HAWAII - WEST OAHU                                 ,91-1001 FARRINGTON HIGHWAY                        ,KAPOLEI             ,HI,96707,20,306,6.5
21102,COLUMBIA COLLEGE HOLLYWOOD                                       ,18618 OXNARD STREET                               ,TARZANA             ,CA,91356,8,118,6.7
21107,CLEVELAND INSTITUTE OF DENTAL - MEDICAL ASSISTANTS               ,2450 PROSPECT AVENUE EAST          2ND FLOOR      ,CLEVELAND           ,OH,44115,54,513,10.5
21108,CALIFORNIA COLLEGE SAN DIEGO                                     ,6602 CONVOY COURT                  SUITE 100      ,SAN DIEGO           ,CA,92111,98,730,13.4
21109,CATTARAUGUS/ALLEGANY/ERIE/WYOMING BOCES                          ,1825 WINDFALL ROAD                                ,OLEAN               ,NY,14760,8,44,18.1
21113,CUYAMACA COLLEGE                                                 ,900 RANCHO SAN DIEGO PARKWAY                      ,EL CAJON            ,CA,92019,20,146,13.6
21116,DANVILLE REGIONAL MEDICAL CENTER SCHOOL OF HEALTH PROFESSIONS    ,142 SOUTH MAIN STREET                             ,DANVILLE            ,VA,24541,3,86,3.4
21122,GREAT LAKES INSTITUTE OF TECHNOLOGY                              ,5100 PEACH STREET                                 ,ERIE                ,PA,16509,55,456,12
21123,RIDLEY - LOWELL BUSINESS & TECHNICAL INSTITUTE                   ,470 BANK STREET                                   ,NEW LONDON          ,CT,6320,85,709,11.9
21127,"NORTH HAVEN ACADEMY, LLC                                         ",97 WASHINGTON AVENUE                              ,NORTH HAVEN         ,CT,6473,7,100,7
21136,AMERICAN INTERCONTINENTAL UNIVERSITY                             ,231 NORTH MARTINGALE ROAD          6TH FLOOR      ,SCHAUMBURG          ,IL,60173,2103,14253,14.7
21138,ROBERTO-VENN SCHOOL OF LUTHIERY                                  ,1012 NW GRAND AVENUE                              ,PHOENIX             ,AZ,85007,6,39,15.3
21142,JOHNSON COLLEGE                                                  ,3427 NORTH MAIN AVENUE                            ,SCRANTON            ,PA,18508,20,204,9.8
21163,PUEBLO COMMUNITY COLLEGE                                         ,900 WEST ORMAN AVENUE                             ,PUEBLO              ,CO,81004,474,2178,21.7
21169,UPPER VALLEY JOINT VOCATIONAL SCHOOL                             ,8811 CAREER DRIVE                                 ,PIQUA               ,OH,45356,3,44,6.8
21171,ART INSTITUTE OF HOUSTON (THE)                                   ,4140 SOUTHWEST FREEWAY                            ,HOUSTON             ,TX,77027,496,2667,18.5
21173,GREAT OAKS CAREER CAMPUSES-SCARLET OAKS                          ,303 SCARLET OAKS DRIVE                            ,SHARONVILLE         ,OH,45241,31,223,13.9
21174,BECK SCHOOL OF PRACTICAL NURSING                                 ,6137 BECK ROAD                                    ,RED BUD             ,IL,62278,2,77,2.5
21175,NAROPA UNIVERSITY                                                ,2130 ARAPAHOE AVENUE                              ,BOULDER             ,CO,80302,14,368,3.8
21178,AVEDA INSTITUTE LAFAYETTE                                        ,2922 JOHNSTON STREET                              ,LAFAYETTE           ,LA,70503,9,90,10
21180,LEVITTOWN BEAUTY ACADEMY                                         ,8919 NEW FALLS ROAD                               ,LEVITTOWN           ,PA,19054,5,43,11.6
21191,MISSION COLLEGE                                                  ,3000 MISSION COLLEGE BOULEVARD                    ,SANTA CLARA         ,CA,95054,16,121,13.2
21200,UNIVERSITY OF LONDON - THE COURTAULD INSTITUTE OF ART            ,SOMERSET HOUSE                     STRAND         ,LONDON              ,FC,WC2R ,0,57,0
